scenario,architecture,balancing,explainer,stab_jaccard_mean
1:10,GCN,class_weighting,GNNExplainer,1.0
1:10,GCN,class_weighting,PGExplainer,1.0
1:10,GraphSAGE,class_weighting,GNNExplainer,1.0
1:10,GraphSAGE,class_weighting,PGExplainer,1.0
1:10,GraphSAGE,focal_loss,GNNExplainer,1.0
1:10,GraphSAGE,focal_loss,PGExplainer,1.0
1:10,GraphSAGE,none,GNNExplainer,1.0
1:10,GraphSAGE,none,PGExplainer,1.0
1:1,GraphSAGE,class_weighting,GNNExplainer,1.0
1:1,GraphSAGE,class_weighting,PGExplainer,1.0
1:1,GraphSAGE,none,GNNExplainer,1.0
1:1,GraphSAGE,none,PGExplainer,1.0
1:50,GraphSAGE,class_weighting,GNNExplainer,1.0
1:50,GraphSAGE,class_weighting,PGExplainer,1.0
1:50,GraphSAGE,focal_loss,GNNExplainer,1.0
1:50,GraphSAGE,focal_loss,PGExplainer,1.0
1:100,GraphSAGE,class_weighting,GNNExplainer,1.0
1:100,GraphSAGE,class_weighting,PGExplainer,1.0
1:10,GAT,focal_loss,GNNExplainer,1.0
1:10,GAT,focal_loss,PGExplainer,1.0
1:10,TAGCN,focal_loss,GNNExplainer,1.0
1:10,TAGCN,focal_loss,PGExplainer,1.0
1:10,TAGCN,none,GNNExplainer,1.0
1:10,TAGCN,none,PGExplainer,1.0
1:50,TAGCN,focal_loss,GNNExplainer,1.0
1:50,TAGCN,focal_loss,PGExplainer,1.0
1:10,GAT,none,GNNExplainer,1.0
1:10,GAT,none,PGExplainer,1.0
1:1,GAT,class_weighting,GNNExplainer,1.0
1:1,GAT,class_weighting,PGExplainer,1.0
1:50,GAT,class_weighting,GNNExplainer,1.0
1:50,GAT,class_weighting,PGExplainer,1.0
1:50,GAT,focal_loss,GNNExplainer,1.0
1:50,GAT,focal_loss,PGExplainer,1.0
