scenario,architecture,balancing,stab_spearman_mean,label
1:10,GCN,class_weighting,0.0,1:10_GCN_class_weighting
1:10,GraphSAGE,focal_loss,0.0,1:10_GraphSAGE_focal_loss
1:10,GraphSAGE,none,0.0,1:10_GraphSAGE_none
1:1,GraphSAGE,class_weighting,0.0,1:1_GraphSAGE_class_weighting
1:1,GraphSAGE,none,0.0,1:1_GraphSAGE_none
1:50,GraphSAGE,class_weighting,0.0,1:50_GraphSAGE_class_weighting
1:50,GraphSAGE,focal_loss,0.0,1:50_GraphSAGE_focal_loss
1:10,GraphSAGE,class_weighting,0.0,1:10_GraphSAGE_class_weighting
1:30_native,GAT,focal_loss,0.0,1:30_native_GAT_focal_loss
1:30_native,GAT,none,0.0,1:30_native_GAT_none
1:30_native,GraphSAGE,class_weighting,0.0,1:30_native_GraphSAGE_class_weighting
1:30_native,GraphSAGE,focal_loss,0.0,1:30_native_GraphSAGE_focal_loss
1:30_native,GraphSAGE,none,0.0,1:30_native_GraphSAGE_none
1:30_native,TAGCN,focal_loss,0.0,1:30_native_TAGCN_focal_loss
1:100,GraphSAGE,class_weighting,0.0,1:100_GraphSAGE_class_weighting
1:10,GAT,focal_loss,0.0,1:10_GAT_focal_loss
1:10,TAGCN,focal_loss,0.0,1:10_TAGCN_focal_loss
1:10,TAGCN,none,0.0,1:10_TAGCN_none
1:50,TAGCN,focal_loss,0.0,1:50_TAGCN_focal_loss
1:10,GAT,none,0.0,1:10_GAT_none
1:1,GAT,class_weighting,0.0,1:1_GAT_class_weighting
1:50,GAT,class_weighting,0.0,1:50_GAT_class_weighting
1:50,GAT,focal_loss,0.0,1:50_GAT_focal_loss
